date	id	Crop	NDVI	EVI	GNDVI	MSAVI
2019-06-17	339	AMETLLERS	0.20385413	0.19160326	0.32053906	0.17528564
2019-06-17	342	AMETLLERS	0.13565874	0.14916624	0.24525955	0.12347555
2019-06-17	343	AMETLLERS	0.07966109	0.09218563	0.16647577	0.06979829
2019-06-17	344	AMETLLERS	0.09640002	0.086062	0.22517729	0.07991019
2019-06-17	346	AMETLLERS	0.2898546	0.2593269	0.36939436	0.22605467
2019-06-17	347	AMETLLERS	0.22276504	0.2114379	0.32344252	0.1847662
2019-06-17	348	AMETLLERS	0.17239176	0.18041632	0.24765913	0.15084013
2019-06-17	350	AMETLLERS	0.3325883	0.26718616	0.41220865	0.23792776
2019-06-17	351	AMETLLERS	0.163168	0.15597126	0.2876621	0.13829428
2019-06-17	352	NOGUERES	0.43179375	0.27328786	0.5451666	0.26497686
2019-06-17	355	PÃ?SOLS NO SIE	0.2750098	0.21502903	0.4663654	0.21752614
2019-06-17	356	PÃ?SOLS NO SIE	0.2645999	0.20751378	0.4719991	0.2121222
2019-06-17	357	PÃ?SOLS NO SIE	0.27121845	0.21548444	0.4503086	0.21493638
2019-06-17	358	PÃ?SOLS NO SIE	0.26077983	0.2106256	0.397894	0.19958615
2019-06-17	359	PÃ?SOLS NO SIE	0.33097	0.26742667	0.49764907	0.265734
2019-06-17	360	PÃ?SOLS NO SIE	0.25470787	0.19418162	0.47292843	0.2052859
2019-06-17	361	PÃ?SOLS NO SIE	0.25378495	0.19733644	0.4746099	0.20689538
2019-06-17	362	PÃ?SOLS NO SIE	0.24579924	0.19299965	0.4757969	0.20210135
2019-06-17	363	PÃ?SOLS NO SIE	0.11013335	0.105000265	0.23810878	0.0947091
2019-06-17	364	PÃ?SOLS NO SIE	0.18576571	0.16601986	0.3082999	0.15127116
2019-06-17	365	PÃ?SOLS NO SIE	0.2881574	0.22037788	0.47033638	0.2248537
2019-06-17	366	VECES NO SIE	0.2183003	0.19009607	0.3620746	0.17479515
2019-06-17	367	VECES NO SIE	0.23851815	0.20415924	0.3774024	0.19638789
2019-06-17	368	ALFALS NO SIE	0.27426237	0.2101813	0.4466189	0.20628703
2019-06-17	369	ALFALS NO SIE	0.25865358	0.19163546	0.4373924	0.18867722
2019-06-17	370	ALFALS NO SIE	0.24727908	0.1780774	0.44154656	0.17812753
2019-06-17	371	ORDI	0.26572487	0.21365537	0.4476886	0.20974582
2019-06-17	372	ORDI	0.23276941	0.18041755	0.43098077	0.1835534
2019-06-17	373	ORDI	0.2669082	0.19558254	0.4615673	0.20571649
2019-06-17	374	ORDI	0.241332	0.18165326	0.44769144	0.18831283
2019-06-17	375	ORDI	0.2415809	0.19722341	0.430716	0.20027626
2019-06-17	377	GUARET NO SIE/ SUP. LLIURE SE*	0.20671105	0.18796496	0.29084197	0.15549201
2019-06-17	378	GUARET SIE/ SUP. LLIURE SEMBRA	0.24424993	0.18400408	0.44300926	0.19033271
2019-06-17	379	ALFALS SIE	0.4716964	0.33711368	0.5343912	0.3088652
2019-06-17	380	ALFALS SIE	0.40369725	0.30729532	0.5057841	0.29169816
2019-06-17	381	OLIVERES	0.3554809	0.2454815	0.38622952	0.21619895
2019-06-17	383	OLIVERES	0.23149803	0.20344307	0.3326422	0.18309566
